UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,CLEANBREED,,,,,,
115,April 13 2015,DOG,Chihuahua,9M,M,FALSE,Brooklyn,11208,CHIHUAHUA,,,,,,
116,April 14 2015,DOG,PIT BULL MIX,2,F,TRUE,Brooklyn,11216,PIT BULL MIX,,,,,,
117,April 10 2015,DOG,Pit Bull,3,M,TRUE,Brooklyn,,PIT BULL,,,,,,
118,April 10 2015,DOG,Siberian Husky,,U,FALSE,Brooklyn,11226,SIBERIAN HUSKY,,,,,,
119,April 14 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
120,April 16 2015,DOG,Pit Bull,1,F,FALSE,Brooklyn,11208,PIT BULL,,,,,,
121,April 16 2015,DOG,Rottweiler,1,M,TRUE,Brooklyn,11228,ROTTWEILER,,,,,,
122,April 14 2015,DOG,BEAGLE MIX,19,M,FALSE,Brooklyn,11214,BEAGLE MIX,,,,,,
123,April 18 2015,DOG,AUSTRALIAN CATTLE,,F,FALSE,Brooklyn,,AUSTRALIAN CATTLE,,,,,,
124,April 11 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11207,PIT BULL,,,,,,
125,April 15 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
126,April 19 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11221,PIT BULL,,,,,,
127,April 19 2015,DOG,SHEPHERD MIX,15,F,TRUE,Brooklyn,11222,SHEPHERD MIX,,,,,,
128,April 17 2015,DOG,Border Terrier,3,M,TRUE,Brooklyn,,BORDER TERRIER,,,,,,
129,April 17 2015,DOG,Pit Bull,3,M,FALSE,Brooklyn,11231,PIT BULL,,,,,,
130,April 19 2015,DOG,ITALIAN MASTIFF,3,F,FALSE,Brooklyn,11221,ITALIAN MASTIFF,,,,,,
131,April 12 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11235,PIT BULL,,,,,,
132,April 19 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11221,PIT BULL,,,,,,
133,April 17 2015,DOG,BEAGLE MIX,4,M,TRUE,Brooklyn,11224,BEAGLE MIX,,,,,,
134,April 19 2015,DOG,Pit Bull,5,M,TRUE,Brooklyn,11218,PIT BULL,,,,,,
135,April 22 2015,DOG,Maltese,7,F,TRUE,Brooklyn,11237,MALTESE,,,,,,
136,April 23 2015,DOG,Cane Corso,15,F,FALSE,Brooklyn,11238,CANE CORSO,,,,,,
137,April 23 2015,DOG,PARSON RUSSELLTERR,2,M,TRUE,Brooklyn,11231,PARSON RUSSELLTERR,,,,,,
138,April 24 2015,DOG,"Poodle, Standard",,U,FALSE,Brooklyn,11221,"POODLE, STANDARD",,,,,,
139,April 25 2015,DOG,Shih Tzu,5,M,TRUE,Brooklyn,11219,SHIH TZU,,,,,,
140,April 26 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11212,AMERICAN STAFFORDSHIRE TERRIER,,,,,,
141,April 25 2015,DOG,Pit Bull,3,M,FALSE,Brooklyn,11221,PIT BULL,,,,,,
142,April 25 2015,DOG,Pit Bull,3,M,FALSE,Brooklyn,11221,PIT BULL,,,,,,
185,May 09 2015,DOG,Siberian Husky,,U,FALSE,Brooklyn,,SIBERIAN HUSKY,,,,,,
143,April 27 2015,DOG,Pit Bull,2,M,FALSE,Brooklyn,11218,PIT BULL,,,,,,
144,April 20 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11218,PIT BULL,,,,,,
145,April 25 2015,DOG,MIXED/UNKNOWN,,U,FALSE,Brooklyn,11201,MIXED/UNKNOWN,,,,,,
146,April 25 2015,DOG,German Shepherd,7,M,TRUE,Brooklyn,11234,GERMAN SHEPHERD,,,,,,
147,April 11 2015,DOG,Pit Bull,3,F,TRUE,Brooklyn,11220,PIT BULL,,,,,,
148,April 29 2015,DOG,Pug,3,M,TRUE,Brooklyn,11223,PUG,,,,,,
149,April 29 2015,DOG,BEAGLE MIX,7,F,FALSE,Brooklyn,11249,BEAGLE MIX,,,,,,
150,April 29 2015,DOG,SHIBA INU,5,M,TRUE,Brooklyn,11221,SHIBA INU,,,,,,
151,April 26 2015,DOG,Chihuahua,2,F,FALSE,Brooklyn,11220,CHIHUAHUA,,,,,,
152,April 30 2015,DOG,SHEPHERD MIX,5,M,TRUE,Brooklyn,11231,SHEPHERD MIX,,,,,,
153,May 01 2015,DOG,Bichon Frise,8,M,TRUE,Brooklyn,11223,BICHON FRISE,,,,,,
154,May 01 2015,DOG,STAFFORDSHIRE TERR,7,F,TRUE,Brooklyn,11221,STAFFORDSHIRE TERR,,,,,,
155,April 19 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11223,PIT BULL,,,,,,
156,May 02 2015,DOG,CHIHUAHUA MIX,,U,FALSE,Brooklyn,11214,CHIHUAHUA MIX,,,,,,
157,May 02 2015,DOG,"Collie, Border",14,M,TRUE,Brooklyn,11234,"COLLIE, BORDER",,,,,,
158,May 04 2015,DOG,PIT BULL MIX,8M,M,FALSE,Brooklyn,11204,PIT BULL MIX,,,,,,
159,May 04 2015,DOG,Belgian Malinois,,U,FALSE,Brooklyn,11213,BELGIAN MALINOIS,,,,,,
160,May 01 2015,DOG,Boxer,2,M,TRUE,Brooklyn,11237,BOXER,,,,,,
161,May 01 2015,DOG,MALTESE - MIX,3,F,FALSE,Brooklyn,11209,MALTESE - MIX,,,,,,
162,May 05 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,11220,GERMAN SHEPHERD,,,,,,
163,May 01 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
164,May 06 2015,DOG,"Collie, Smooth Coat",10,F,TRUE,Brooklyn,11220,"COLLIE, SMOOTH COAT",,,,,,
165,May 06 2015,DOG,MIXED/UNKNOWN,5,M,TRUE,Brooklyn,11222,MIXED/UNKNOWN,,,,,,
166,April 08 2015,DOG,MIXED/UNKNOWN,4,M,TRUE,Brooklyn,,MIXED/UNKNOWN,,,,,,
167,April 08 2015,DOG,MIXED/UNKNOWN,4,M,TRUE,Brooklyn,,MIXED/UNKNOWN,,,,,,
168,May 10 2015,DOG,Pit Bull,13,M,TRUE,Brooklyn,11234,PIT BULL,,,,,,
